Symbol,TokenAddress,TimeStamp,MovementType,Quantity,Countervalue,SymbolCountervalue,SourceCountervalue,SourceSymbolCountervalue
EUR,,2022-07-07 08:21:14,CREDIT,500,5E+2,EUR,,
BNB,,2022-07-07 09:31:01,CREDIT,64,14.876388616290480863591756624141315015,EUR,,
BNB,,2022-07-07 09:31:01,EXCHANGE_FEE,-0.000048,-0.011157291462217860647693817468105986,EUR,,
EUR,,2022-07-07 09:31:01,DEBIT,-14.8736,-14.8736,EUR,,
BTC,,2022-07-14 09:43:40,CREDIT,0.00507,99.909733399800598205383848454636091725,EUR,,
EUR,,2022-07-14 09:43:40,DEBIT,-99.9709191,-99.9709191,EUR,,
BTC,,2022-07-21 15:31:30,CREDIT,0.00384,85.110905593719332679097154072620215898,EUR,,
EUR,,2022-07-21 15:31:30,DEBIT,-85.0960512,-85.0960512,EUR,,
BTC,,2022-07-23 10:38:24,CREDIT,0.00454,100.013128823529411764705882352941176471,EUR,,
EUR,,2022-07-23 10:38:24,DEBIT,-99.88,-99.88,EUR,,
BTC,,2022-08-09 14:13:47,CREDIT,0.00222,49.843774193548387096774193548387096774,EUR,,
EUR,,2022-08-09 14:13:47,DEBIT,-49.9417776,-49.9417776,EUR,,
ETH,,2022-08-09 14:14:20,CREDIT,0.0303,49.765750733137829912023460410557184751,EUR,,
BNB,,2022-08-09 14:14:20,EXCHANGE_FEE,-0.00012145,-0.037353888563049853372434017595307918,EUR,,
EUR,,2022-08-09 14:14:20,DEBIT,-49.894404,-49.894404,EUR,,
EUR,,2022-08-17 09:53:14,CREDIT,1500,1.5E+3,EUR,,
BTC,,2022-08-19 01:29:23,CREDIT,0.00221,49.894806051587301587301587301587301587,EUR,,
EUR,,2022-08-19 01:29:23,DEBIT,-49946,-49946,EUR,,
ETH,,2022-08-19 06:38:07,CREDIT,0.0285,49.868810463968410661401776900296150049,EUR,,
BNB,,2022-08-19 06:38:07,EXCHANGE_FEE,-0.00013392,-0.037579564856860809476801579466929911,EUR,,
EUR,,2022-08-19 06:38:07,DEBIT,-49875,-49875,EUR,,
BTC,,2022-08-26 06:47:30,CREDIT,0.00232,49.914646326776395022079486150140505821,EUR,,
EUR,,2022-08-26 06:47:30,DEBIT,-49.9359352,-49.9359352,EUR,,
ETH,,2022-08-26 06:48:10,CREDIT,0.0299,49.89543748745735500702388119606662653,EUR,,
BNB,,2022-08-26 06:48:10,EXCHANGE_FEE,-0.00012562,-0.037377181015452538631346578366445916,EUR,,
EUR,,2022-08-26 06:48:10,DEBIT,-49.90011,-49.90011,EUR,,
USDT,,2022-08-27 02:02:46,EARN,0.03723376,0,EUR,0,USD
BTC,,2022-09-02 06:25:04,CREDIT,0.0025,50.396704784832982244959374059584712609,EUR,,
EUR,,2022-09-02 06:25:04,DEBIT,-50.3775,-50.3775,EUR,,
ETH,,2022-09-02 06:25:12,CREDIT,0.0315,50.063334670142370162422297974734309204,EUR,,
BNB,,2022-09-02 06:25:12,EXCHANGE_FEE,-0.00013491,-0.037535116302386204130739923801884901,EUR,,
EUR,,2022-09-02 06:25:12,DEBIT,-50.0535,-50.0535,EUR,,
ETH,,2022-09-07 06:27:31,CREDIT,0.0325,49.885676741130091984231274638633377135,EUR,,
BNB,,2022-09-07 06:27:31,EXCHANGE_FEE,-0.00014024,-0.037410565305297209866558835422563688,EUR,,
EUR,,2022-09-07 06:27:31,DEBIT,-49.8875,-49.8875,EUR,,
BTC,,2022-09-07 06:29:15,CREDIT,0.00263,49.91265972923822994544352394423115781,EUR,,
EUR,,2022-09-07 06:29:15,DEBIT,-49.9437,-49.9437,EUR,,
BTC,,2022-09-13 20:18:19,CREDIT,0.00245,49.868482250300842358604091456077015644,EUR,,
EUR,,2022-09-13 20:18:19,DEBIT,-49.819672,-49.819672,EUR,,
ETH,,2022-09-13 20:18:34,CREDIT,0.0308,49.946839149618933012434817488969113518,EUR,,
BNB,,2022-09-13 20:18:34,EXCHANGE_FEE,-0.00013329,-0.037441656447249774571686203787195672,EUR,,
EUR,,2022-09-13 20:18:34,DEBIT,-49.88984,-49.88984,EUR,,
ETH,,2022-09-15 17:04:41,CREDIT,66,99.919471947194719471947194719471947195,EUR,,
BNB,,2022-09-15 17:04:41,EXCHANGE_FEE,-0.00027545,-0.074938157315731573157315731573157316,EUR,,
EUR,,2022-09-15 17:04:41,DEBIT,-99.97284,-99.97284,EUR,,
ETHW,,2022-09-19 07:45:49,AIRDROP,0.1835,0,EUR,0,USD
BTC,,2022-09-22 05:34:30,CREDIT,0.00525,99.636050650935720097640358014646053702,EUR,,
EUR,,2022-09-22 05:34:30,DEBIT,-99.842502,-99.842502,EUR,,
BTC,,2022-09-27 22:10:25,CREDIT,0.00505,99.935315789473684210526315789473684211,EUR,,
EUR,,2022-09-27 22:10:25,DEBIT,-99.996767,-99.996767,EUR,,
BTC,,2022-10-11 05:41:35,CREDIT,0.00381,74.921406508264462809917355371900826446,EUR,,
EUR,,2022-10-11 05:41:35,DEBIT,-74.9652552,-74.9652552,EUR,,
ETH,,2022-10-11 05:42:15,CREDIT,0.0196,25.839400826446280991735537190082644628,EUR,,
BNB,,2022-10-11 05:42:15,EXCHANGE_FEE,-0.00006956,-0.019371166528925619834710743801652893,EUR,,
EUR,,2022-10-11 05:42:15,DEBIT,-25.848088,-25.848088,EUR,,
BTC,,2022-10-20 03:35:24,EARN,0.00000206,0,EUR,0,USD
BTC,,2022-10-21 04:11:28,EARN,0.00000206,0,EUR,0,USD
BTC,,2022-10-21 06:45:09,CREDIT,0.00512,99.856982800982800982800982800982800983,EUR,,
EUR,,2022-10-21 06:45:09,DEBIT,-99.858688,-99.858688,EUR,,
BTC,,2022-10-22 03:48:25,EARN,0.00000206,0,EUR,0,USD
BTC,,2022-10-23 03:48:57,EARN,0.00000218,0,EUR,0,USD
BTC,,2022-10-24 03:49:19,EARN,0.00000218,0,EUR,0,USD
BTC,,2022-10-24 09:46:14,CREDIT,0.00253,49.87851867684478371501272264631043257,EUR,,
EUR,,2022-10-24 09:46:14,DEBIT,-49.87895,-49.87895,EUR,,
ETH,,2022-10-24 09:46:29,CREDIT,0.0182,24.885563021787823253919771940541641214,EUR,,
BNB,,2022-10-24 09:46:29,EXCHANGE_FEE,-0.00006684,-0.018641046717557251908396946564885496,EUR,,
EUR,,2022-10-24 09:46:29,DEBIT,-24.885952,-24.885952,EUR,,
BTC,,2022-10-25 02:22:55,EARN,0.00000218,0,EUR,0,USD
BTC,,2022-10-26 03:35:25,EARN,0.00000223,0,EUR,0,USD
BTC,,2022-10-27 03:26:33,EARN,0.00000223,0,EUR,0,USD
BTC,,2022-10-28 02:29:42,EARN,0.00000223,0,EUR,0,USD
ETH,,2022-10-28 06:05:29,CREDIT,0.0329,49.989465717722534081796311146752205293,EUR,,
BNB,,2022-10-28 06:05:29,EXCHANGE_FEE,-0.00013014,-0.037540484963913392141138732959101844,EUR,,
EUR,,2022-10-28 06:05:29,DEBIT,-49.998788,-49.998788,EUR,,
BTC,,2022-10-28 06:07:13,CREDIT,0.00122,24.800862383482008619825598877418061542,EUR,,
EUR,,2022-10-28 06:07:13,DEBIT,-24.8088342,-24.8088342,EUR,,
BTC,,2022-10-29 04:02:47,EARN,0.00000223,0,EUR,0,USD
BTC,,2022-10-30 04:37:59,EARN,0.00000226,0,EUR,0,USD
BTC,,2022-10-31 04:03:26,EARN,0.00000226,0,EUR,0,USD
ETH,,2022-10-31 14:50:36,CREDIT,0.0158,24.884361358124494745351657235246564268,EUR,,
BNB,,2022-10-31 14:50:36,EXCHANGE_FEE,-0.00005697,-0.018656293350848827809215844785772029,EUR,,
EUR,,2022-10-31 14:50:36,DEBIT,-24.899062,-24.899062,EUR,,
BTC,,2022-10-31 14:50:51,CREDIT,0.00121,24.864142784963621665319320937752627324,EUR,,
EUR,,2022-10-31 14:50:51,DEBIT,-24.8866024,-24.8866024,EUR,,
BTC,,2022-11-01 03:03:59,EARN,0.00000226,0,EUR,0,USD
BTC,,2022-11-02 04:13:37,EARN,0.00000125,0,EUR,0,USD
BTC,,2022-11-02 20:36:37,CREDIT,0.00121,24.829665716322166785459729151817533856,EUR,,
EUR,,2022-11-02 20:36:37,DEBIT,-24.8572772,-24.8572772,EUR,,
ETH,,2022-11-02 20:36:49,CREDIT,0.0162,24.941600488698839340256566890653634698,EUR,,
BNB,,2022-11-02 20:36:49,EXCHANGE_FEE,-0.00005785,-0.018703773162288739564243534921604561,EUR,,
EUR,,2022-11-02 20:36:49,DEBIT,-24.948972,-24.948972,EUR,,
BTC,,2022-11-03 04:01:55,EARN,0.00000125,0,EUR,0,USD
BTC,,2022-11-04 03:37:34,EARN,0.00000125,0,EUR,0,USD
BTC,,2022-11-05 05:15:28,EARN,0.00000127,0,EUR,0,USD
BTC,,2022-11-06 02:25:59,EARN,0.00000127,0,EUR,0,USD
BTC,,2022-11-07 03:05:14,EARN,0.00000127,0,EUR,0,USD
BTC,,2022-11-08 03:05:55,EARN,0.00000127,0,EUR,0,USD
BTC,,2022-11-09 03:51:42,EARN,0.00000127,0,EUR,0,USD
BTC,,2022-11-09 06:44:05,CREDIT,0.00136,24.91446852589641434262948207171314741,EUR,,
EUR,,2022-11-09 06:44:05,DEBIT,-24.891876,-24.891876,EUR,,
ETH,,2022-11-09 06:44:40,CREDIT,0.02,25.928884462151394422310756972111553785,EUR,,
BNB,,2022-11-09 06:44:40,EXCHANGE_FEE,-0.00006137,-0.019472914726368159203980099502487562,EUR,,
EUR,,2022-11-09 06:44:40,DEBIT,-25926,-25926,EUR,,
BTC,,2022-11-10 04:24:53,EARN,0.000001,0,EUR,0,USD
BTC,,2022-11-11 03:45:26,EARN,0.00000102,0,EUR,0,USD
BTC,,2022-11-11 12:50:55,CREDIT,0.00148,24.897184824902723735408560311284046693,EUR,,
EUR,,2022-11-11 12:50:55,DEBIT,-24.9499584,-24.9499584,EUR,,
BTC,,2022-11-12 03:28:23,EARN,0.00000102,0,EUR,0,USD
BTC,,2022-11-12 07:12:01,CREDIT,0.00152,24.729426964112512124151309408341416101,EUR,,
EUR,,2022-11-12 07:12:01,DEBIT,-24.8542421,-24.8542421,EUR,,
BTC,,2022-11-13 03:55:48,EARN,0.00000104,0,EUR,0,USD
BTC,,2022-11-14 04:41:12,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-15 04:15:36,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-16 03:54:02,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-17 04:08:07,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-18 03:58:07,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-18 07:18:20,CREDIT,0.00465,75.036947064485081809432146294513955727,EUR,,
EUR,,2022-11-18 07:18:20,DEBIT,-75.0975,-75.0975,EUR,,
ETH,,2022-11-18 07:19:20,CREDIT,0.0215,25.210871029836381135707410972088546679,EUR,,
BNB,,2022-11-18 07:19:20,EXCHANGE_FEE,-0.00007204,-0.018919175337186897880539499036608863,EUR,,
EUR,,2022-11-18 07:19:20,DEBIT,-25.2195,-25.2195,EUR,,
BTC,,2022-11-19 03:57:44,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-20 02:51:29,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-21 03:59:10,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-22 03:19:00,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-23 03:59:28,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-24 04:15:08,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-25 04:26:16,EARN,0.00000112,0,EUR,0,USD
ETH,,2022-11-25 06:51:05,CREDIT,0.0441,49.959120921305182341650671785028790787,EUR,,
BNB,,2022-11-25 06:51:05,EXCHANGE_FEE,-0.00013166,-0.03746371401151631477927063339731286,EUR,,
EUR,,2022-11-25 06:51:05,DEBIT,-49.967505,-49.967505,EUR,,
BTC,,2022-11-25 06:53:08,CREDIT,0.00635,100.044676583493282149712092130518234165,EUR,,
