"Symbol","TokenAddress","TimeStamp","MovementType","Quantity","Countervalue","SymbolCountervalue","UserCountervalue","UserSymbolCountervalue","SourceCountervalue","SourceSymbolCountervalue"
"ATOM","","2024-01-01 00:59:41","CREDIT","134.94071400","","","","","",""
"BTC","","2024-01-01 01:06:22","CREDIT","0.03000000","","","","","",""
"BTC","","2024-01-01 01:06:40","CREDIT","0.01000000","","","","","",""
"BTC","","2024-01-01 01:06:56","CREDIT","0.01000000","","","","","",""
"BNB","","2024-01-01 01:13:04","CREDIT","0.08200000","","","","","",""
"BNB","","2024-01-01 01:13:04","EXCHANGE_FEE","0.00006150","","","","","",""
"USDT","","2024-01-01 01:13:04","DEBIT","25.83000000","","","","","",""
"USDT","","2024-01-01 01:32:37","CREDIT","425.50000000","","","","","",""
"BTC","","2024-01-01 01:32:37","DEBIT","0.01000000","","","","","",""
"USDT","","2024-01-01 01:32:37","EXCHANGE_FEE","0.42550000","","","","","",""
"USDT","","2024-01-01 01:35:18","CREDIT","1278.00000000","","","","","",""
"BTC","","2024-01-01 01:35:18","DEBIT","0.03000000","","","","","",""
"USDT","","2024-01-01 01:35:18","EXCHANGE_FEE","1.27800000","","","","","",""
"USDT","","2024-01-01 01:36:24","CREDIT","426.50000000","","","","","",""
"BTC","","2024-01-01 01:36:24","DEBIT","0.01000000","","","","","",""
"USDT","","2024-01-01 01:36:24","EXCHANGE_FEE","0.42650000","","","","","",""
"USDT","","2024-01-01 01:37:19","CREDIT","898.10100000","","","","","",""
"USDT","","2024-01-01 01:37:19","CREDIT","504.31000000","","","","","",""
"USDT","","2024-01-01 01:37:19","CREDIT","207.08900000","","","","","",""
"USDT","","2024-01-01 01:37:19","EXCHANGE_FEE","0.20708900","","","","","",""
"USDT","","2024-01-01 01:37:19","EXCHANGE_FEE","0.50431000","","","","","",""
"USDT","","2024-01-01 01:37:19","EXCHANGE_FEE","0.89810100","","","","","",""
"ATOM","","2024-01-01 01:37:19","DEBIT","19.30000000","","","","","",""
"ATOM","","2024-01-01 01:37:19","DEBIT","47.00000000","","","","","",""
"ATOM","","2024-01-01 01:37:19","DEBIT","83.70000000","","","","","",""
"ATOM","","2024-01-01 02:45:08","CREDIT","0.15200000","","","","","",""
"BTC","","2024-01-01 02:45:08","CREDIT","0.00005000","","","","","",""
"BNB","","2024-01-01 02:45:08","DEBIT","0.00893423","","","","","",""
"BTC","","2024-01-01 03:03:32","EARN","6E-8","","","","","",""
"USDT","","2024-01-01 03:11:04","EARN","0.09589000","","","","","",""
"USDT","","2024-01-01 04:45:04","CREDIT","2.13000000","","","","","",""
"USDT","","2024-01-01 04:45:04","CREDIT","1.60950000","","","","","",""
"BNB","","2024-01-01 04:45:04","DEBIT","0.00888825","","","","","",""
"USDT","","2024-01-01 15:56:29","CREDIT","1070.24975000","","","","","",""
"BTC","","2024-01-01 15:56:29","CREDIT","0.02495000","","","","","",""
"BTC","","2024-01-01 15:56:29","DEBIT","0.02500000","","","","","",""
"USDT","","2024-01-01 15:56:29","EXCHANGE_FEE","1.07024975","","","","","",""
"USDT","","2024-01-01 18:15:51","CREDIT","295.41953160","","","","","",""
"USDT","","2024-01-01 18:15:51","CREDIT","136.48036840","","","","","",""
"BNB","","2024-01-01 18:15:51","EXCHANGE_FEE","0.00032692","","","","","",""
"BNB","","2024-01-01 18:15:51","EXCHANGE_FEE","0.00070764","","","","","",""
"BTC","","2024-01-01 18:15:51","DEBIT","0.00316000","","","","","",""
"BTC","","2024-01-01 18:15:51","DEBIT","0.00684000","","","","","",""
"USDT","","2024-01-01 18:18:27","CREDIT","430.38020000","","","","","",""
"BTC","","2024-01-01 18:18:27","CREDIT","0.01000000","","","","","",""
"BTC","","2024-01-01 18:18:27","DEBIT","0.01000000","","","","","",""
"USDT","","2024-01-01 18:18:27","EXCHANGE_FEE","0.43038020","","","","","",""
"BTC","","2024-01-01 18:18:58","CREDIT","0.01000000","","","","","",""
"BTC","","2024-01-01 18:19:11","CREDIT","0.01000000","","","","","",""
"BTC","","2024-01-01 18:20:05","CREDIT","0.01000000","","","","","",""
"BTC","","2024-01-01 18:20:26","CREDIT","0.02000000","","","","","",""
"USDT","","2024-01-01 18:21:09","CREDIT","431.10000000","","","","","",""
"BTC","","2024-01-01 18:21:09","DEBIT","0.01000000","","","","","",""
"USDT","","2024-01-01 18:21:09","EXCHANGE_FEE","0.43110000","","","","","",""
"USDT","","2024-01-01 18:21:12","CREDIT","431.20000000","","","","","",""
"BTC","","2024-01-01 18:21:12","DEBIT","0.01000000","","","","","",""
"USDT","","2024-01-01 18:21:12","EXCHANGE_FEE","0.43120000","","","","","",""
"USDT","","2024-01-01 18:24:32","CREDIT","144.02700000","","","","","",""
"ATOM","","2024-01-01 18:24:32","CREDIT","12.84800000","","","","","",""
"USDT","","2024-01-01 18:24:32","EXCHANGE_FEE","0.14402700","","","","","",""
"ATOM","","2024-01-01 18:24:32","DEBIT","13.00000000","","","","","",""
"USDT","","2024-01-01 18:45:08","CREDIT","1.07024975","","","","","",""
"BNB","","2024-01-01 18:45:08","DEBIT","0.00257100","","","","","",""
"USDT","","2024-01-01 19:32:52","CREDIT","433.50000000","","","","","",""
"BTC","","2024-01-01 19:32:52","DEBIT","0.01000000","","","","","",""
"USDT","","2024-01-01 19:32:52","EXCHANGE_FEE","0.43350000","","","","","",""
"USDT","","2024-01-01 19:51:50","CREDIT","870.00000000","","","","","",""
"BTC","","2024-01-01 19:51:50","DEBIT","0.02000000","","","","","",""
"USDT","","2024-01-01 19:51:50","EXCHANGE_FEE","0.87000000","","","","","",""
"USDT","","2024-01-01 22:19:13","CREDIT","798.80895260","","","","","",""
"USDT","","2024-01-01 22:19:13","CREDIT","70.40644740","","","","","",""
"BTC","","2024-01-01 22:19:13","CREDIT","0.02000000","","","","","",""
"BTC","","2024-01-01 22:19:13","DEBIT","0.00162000","","","","","",""
"BTC","","2024-01-01 22:19:13","DEBIT","0.01838000","","","","","",""
"USDT","","2024-01-01 22:19:13","EXCHANGE_FEE","0.07040645","","","","","",""
"USDT","","2024-01-01 22:19:13","EXCHANGE_FEE","0.79880895","","","","","",""
"USDT","","2024-01-02 01:45:06","CREDIT","0.86921540","","","","","",""
"BNB","","2024-01-02 01:45:06","DEBIT","0.00208650","","","","","",""
"BTC","","2024-01-02 03:11:33","EARN","6E-8","","","","","",""
"USDT","","2024-01-02 03:12:08","EARN","0.09589000","","","","","",""
"USDT","","2024-01-02 04:00:39","CREDIT","1.29268020","","","","","",""
"USDT","","2024-01-02 04:00:39","CREDIT","0.14402700","","","","","",""
"BNB","","2024-01-02 04:00:39","DEBIT","0.00344400","","","","","",""
"BNB","","2024-01-02 04:01:10","DEBIT","0.00313725","","","","","",""
"USDT","","2024-01-02 04:01:11","CREDIT","1.30350000","","","","","",""
"USDT","","2024-01-02 06:32:15","CREDIT","670.71314740","","","","","",""
"USDT","","2024-01-02 06:32:15","CREDIT","7.68855260","","","","","",""
"BNB","","2024-01-02 06:32:15","EXCHANGE_FEE","0.00001816","","","","","",""
"BTC","","2024-01-02 06:32:15","DEBIT","0.00017000","","","","","",""
"BNB","","2024-01-02 06:32:15","EXCHANGE_FEE","0.00158485","","","","","",""
"BTC","","2024-01-02 06:32:15","DEBIT","0.01483000","","","","","",""
"USDT","","2024-01-02 06:34:53","CREDIT","4520.42700000","","","","","",""
"BTC","","2024-01-02 06:34:53","CREDIT","0.10000000","","","","","",""
"BTC","","2024-01-02 06:34:53","DEBIT","0.10000000","","","","","",""
"USDT","","2024-01-02 06:34:53","EXCHANGE_FEE","4.52042700","","","","","",""
"USDT","","2024-01-02 09:45:05","CREDIT","4.52042700","","","","","",""
